Epoch 061 | train 0.0990  96.45% | test(clean) 0.5344  86.85% | test(HF) 0.5347  86.82%
Epoch 062 | train 0.0967  96.53% | test(clean) 0.5551  86.76% | test(HF) 0.5550  86.75%
Epoch 063 | train 0.0887  96.91% | test(clean) 0.5394  87.14% | test(HF) 0.5392  87.15%
Epoch 064 | train 0.0831  97.05% | test(clean) 0.5384  87.00% | test(HF) 0.5384  87.00%
Epoch 065 | train 0.0813  97.22% | test(clean) 0.5454  86.93% | test(HF) 0.5455  86.96%
Epoch 066 | train 0.0759  97.46% | test(clean) 0.5558  86.95% | test(HF) 0.5560  86.99%
Epoch 067 | train 0.0739  97.40% | test(clean) 0.5485  86.99% | test(HF) 0.5484  86.94%
Epoch 068 | train 0.0703  97.61% | test(clean) 0.5566  87.15% | test(HF) 0.5570  87.22%
Epoch 069 | train 0.0662  97.75% | test(clean) 0.5578  87.30% | test(HF) 0.5578  87.29%
Epoch 070 | train 0.0630  97.91% | test(clean) 0.5564  87.11% | test(HF) 0.5570  87.04%
Epoch 071 | train 0.0607  97.94% | test(clean) 0.5583  87.37% | test(HF) 0.5581  87.37%
Epoch 072 | train 0.0597  97.99% | test(clean) 0.5573  87.38% | test(HF) 0.5571  87.37%
Epoch 073 | train 0.0587  97.97% | test(clean) 0.5622  87.47% | test(HF) 0.5614  87.48%
Epoch 074 | train 0.0591  97.97% | test(clean) 0.5579  87.46% | test(HF) 0.5578  87.51%
Epoch 075 | train 0.0570  98.05% | test(clean) 0.5625  87.30% | test(HF) 0.5627  87.27%
Epoch 076 | train 0.0546  98.23% | test(clean) 0.5583  87.51% | test(HF) 0.5585  87.54%
Epoch 077 | train 0.0563  98.13% | test(clean) 0.5586  87.41% | test(HF) 0.5588  87.39%
Epoch 078 | train 0.0535  98.29% | test(clean) 0.5582  87.43% | test(HF) 0.5585  87.45%
Epoch 079 | train 0.0519  98.34% | test(clean) 0.5585  87.41% | test(HF) 0.5585  87.42%
