Epoch 022 | train 0.4328  84.67% | test(clean) 0.5167  82.88% | test(HF) 0.5165  82.90%
Epoch 023 | train 0.4216  85.03% | test(clean) 0.4935  82.85% | test(HF) 0.4937  82.87%
Epoch 024 | train 0.4098  85.50% | test(clean) 0.5197  82.40% | test(HF) 0.5197  82.28%
Epoch 025 | train 0.4047  85.55% | test(clean) 0.5456  81.85% | test(HF) 0.5455  81.90%
Epoch 026 | train 0.3935  86.08% | test(clean) 0.5185  82.97% | test(HF) 0.5182  83.04%
Epoch 027 | train 0.3844  86.41% | test(clean) 0.4895  83.78% | test(HF) 0.4895  83.79%
Epoch 028 | train 0.3778  86.64% | test(clean) 0.5135  83.33% | test(HF) 0.5132  83.33%
Epoch 029 | train 0.3629  87.17% | test(clean) 0.5178  83.17% | test(HF) 0.5189  83.11%
Epoch 030 | train 0.3562  87.14% | test(clean) 0.5484  82.43% | test(HF) 0.5476  82.40%
Epoch 031 | train 0.3509  87.32% | test(clean) 0.4767  84.67% | test(HF) 0.4767  84.72%
Epoch 032 | train 0.3400  87.88% | test(clean) 0.5188  83.82% | test(HF) 0.5192  83.85%
Epoch 033 | train 0.3304  88.27% | test(clean) 0.4688  84.76% | test(HF) 0.4686  84.76%
Epoch 034 | train 0.3222  88.44% | test(clean) 0.4959  83.84% | test(HF) 0.4959  83.91%
Epoch 035 | train 0.3131  88.74% | test(clean) 0.5150  83.67% | test(HF) 0.5147  83.67%
Epoch 036 | train 0.3007  89.29% | test(clean) 0.5008  84.16% | test(HF) 0.5007  84.19%
Epoch 037 | train 0.2924  89.60% | test(clean) 0.4613  85.05% | test(HF) 0.4615  85.00%
Epoch 038 | train 0.2844  89.89% | test(clean) 0.4790  84.74% | test(HF) 0.4792  84.85%
Epoch 039 | train 0.2782  90.11% | test(clean) 0.4833  85.06% | test(HF) 0.4835  85.05%
Epoch 040 | train 0.2658  90.51% | test(clean) 0.4683  85.06% | test(HF) 0.4681  85.08%
Epoch 041 | train 0.2553  90.73% | test(clean) 0.4604  85.30% | test(HF) 0.4601  85.32%
Epoch 042 | train 0.2512  91.00% | test(clean) 0.4935  84.98% | test(HF) 0.4931  84.97%
Epoch 043 | train 0.2398  91.28% | test(clean) 0.4721  85.63% | test(HF) 0.4718  85.60%
Epoch 044 | train 0.2273  91.88% | test(clean) 0.4836  85.15% | test(HF) 0.4843  85.21%
Epoch 045 | train 0.2221  92.02% | test(clean) 0.4735  85.47% | test(HF) 0.4736  85.51%
Epoch 046 | train 0.2157  92.23% | test(clean) 0.5686  83.92% | test(HF) 0.5681  83.96%
Epoch 047 | train 0.2038  92.74% | test(clean) 0.5184  85.17% | test(HF) 0.5180  85.14%
Epoch 048 | train 0.1957  93.00% | test(clean) 0.4960  85.62% | test(HF) 0.4959  85.59%
