Epoch 041 | train 0.2553  90.73% | test(clean) 0.4604  85.30% | test(HF) 0.4604  85.28%
Epoch 042 | train 0.2512  91.00% | test(clean) 0.4935  84.98% | test(HF) 0.4935  84.95%
Epoch 043 | train 0.2398  91.28% | test(clean) 0.4721  85.63% | test(HF) 0.4722  85.59%
Epoch 044 | train 0.2273  91.88% | test(clean) 0.4836  85.15% | test(HF) 0.4837  85.18%
Epoch 045 | train 0.2221  92.02% | test(clean) 0.4735  85.47% | test(HF) 0.4735  85.46%
Epoch 046 | train 0.2157  92.23% | test(clean) 0.5686  83.92% | test(HF) 0.5685  83.90%
Epoch 047 | train 0.2038  92.74% | test(clean) 0.5184  85.17% | test(HF) 0.5183  85.18%
Epoch 048 | train 0.1957  93.00% | test(clean) 0.4960  85.62% | test(HF) 0.4960  85.60%
Epoch 049 | train 0.1881  93.30% | test(clean) 0.4829  86.07% | test(HF) 0.4829  86.06%
Epoch 050 | train 0.1800  93.63% | test(clean) 0.5027  85.89% | test(HF) 0.5027  85.89%
Epoch 051 | train 0.1660  94.01% | test(clean) 0.5315  85.12% | test(HF) 0.5315  85.07%
Epoch 052 | train 0.1638  94.15% | test(clean) 0.5022  86.03% | test(HF) 0.5022  86.07%
Epoch 053 | train 0.1511  94.58% | test(clean) 0.5048  86.27% | test(HF) 0.5047  86.24%
Epoch 054 | train 0.1471  94.75% | test(clean) 0.4821  86.74% | test(HF) 0.4820  86.75%
Epoch 055 | train 0.1367  95.11% | test(clean) 0.5004  86.41% | test(HF) 0.5005  86.42%
Epoch 056 | train 0.1335  95.15% | test(clean) 0.5098  86.48% | test(HF) 0.5099  86.49%
Epoch 057 | train 0.1313  95.28% | test(clean) 0.5052  86.78% | test(HF) 0.5052  86.79%
Epoch 058 | train 0.1220  95.55% | test(clean) 0.5019  86.54% | test(HF) 0.5019  86.52%
Epoch 059 | train 0.1160  95.91% | test(clean) 0.5170  86.66% | test(HF) 0.5170  86.70%
Epoch 060 | train 0.1065  96.23% | test(clean) 0.5142  86.60% | test(HF) 0.5140  86.63%
Epoch 061 | train 0.0997  96.51% | test(clean) 0.5134  86.68% | test(HF) 0.5135  86.65%
Epoch 062 | train 0.0976  96.53% | test(clean) 0.5119  86.74% | test(HF) 0.5118  86.73%
Epoch 063 | train 0.0923  96.71% | test(clean) 0.5203  86.94% | test(HF) 0.5201  86.99%
Epoch 064 | train 0.0892  96.82% | test(clean) 0.5315  86.93% | test(HF) 0.5315  86.96%
